order_id,product_id,quantity,unit_price
1,3,2,15
1,8,1,20
1,11,1,28
1,7,1,25
2,13,1,185
2,11,1,28
2,14,3,55
3,24,1,89
3,11,1,28
3,2,1,20
4,2,1,20
4,10,3,22
4,8,1,20
4,16,1,40
5,18,2,28
6,19,1,45
6,26,1,95
6,25,1,55
7,9,1,30
7,6,1,18
7,4,2,35
8,24,2,89
8,10,1,22
9,6,1,18
9,12,2,15
9,10,2,22
10,16,2,40
10,1,1,12
10,23,1,30
10,14,1,55
11,10,1,22
11,4,2,35
12,14,1,55
12,13,1,185
12,17,1,35
13,7,1,25
13,3,1,15
14,18,1,28
14,15,1,60
15,3,1,15
16,18,2,28
16,23,1,30
17,17,3,35
17,15,1,60
18,18,1,28
18,15,1,60
19,24,2,89
20,2,1,20
20,14,3,55
20,11,1,28
21,21,2,75
21,4,2,35
21,12,1,15
22,9,1,30
22,3,1,15
23,28,3,39
23,22,2,35
23,21,1,75
24,4,3,35
24,12,1,15
25,28,1,39
25,22,1,35
25,23,2,30
25,11,1,28
26,1,1,12
26,9,1,30
26,10,2,22
27,3,1,15
27,11,1,28
27,8,1,20
28,14,1,55
29,18,3,28
30,8,3,20
31,16,2,40
31,3,1,15
31,17,1,35
31,26,2,95
32,20,2,120
32,6,2,18
32,28,1,39
33,11,1,28
33,22,1,35
34,16,2,40
35,9,1,30
35,19,1,45
36,11,1,28
37,25,2,55
38,10,1,22
38,2,1,20
38,1,1,12
38,4,2,35
38,6,1,18
39,11,1,28
39,25,3,55
39,2,1,20
40,6,1,18
40,8,2,20
40,17,1,35
41,15,1,60
41,7,1,25
41,16,1,40
42,12,1,15
42,28,1,39
43,19,2,45
43,21,1,75
44,22,1,35
44,28,1,39
45,2,3,20
45,12,1,15
45,7,3,25
45,8,1,20
46,9,2,30
46,12,1,15
46,6,1,18
46,23,2,30
47,2,1,20
47,8,1,20
48,1,3,12
48,10,1,22
49,2,1,20
49,10,1,22
49,19,2,45
49,4,1,35
49,22,1,35
50,18,1,28
50,9,1,30
50,14,1,55
51,19,1,45
52,6,3,18
52,9,1,30
53,3,2,15
53,12,1,15
54,23,2,30
54,25,2,55
54,27,2,49
55,22,2,35
55,3,1,15
55,24,1,89
56,17,1,35
56,16,2,40
56,18,1,28
56,15,1,60
56,14,1,55
57,19,2,45
57,28,2,39
58,14,1,55
58,15,3,60
58,12,1,15
59,16,1,40
59,14,1,55
59,1,1,12
60,10,3,22
60,12,1,15
60,6,2,18
61,2,1,20
62,5,2,65
62,8,2,20
63,3,1,15
63,10,1,22
63,9,1,30
63,8,2,20
63,7,1,25
64,8,1,20
64,12,1,15
65,27,1,49
66,9,1,30
67,17,2,35
67,16,1,40
67,10,1,22
67,20,1,120
68,16,1,40
68,13,1,185
68,18,1,28
69,1,2,12
69,11,1,28
70,3,1,15
70,9,1,30
70,11,1,28
70,17,1,35
71,8,1,20
72,25,1,55
72,16,1,40
73,15,1,60
