customer_id,recency_days,frequency,monetary,r_score,f_score,m_score
1,164,6,1030.0,1,3,3
2,197,1,200.0,1,1,1
3,44,3,361.0,3,2,2
4,122,4,418.0,1,2,2
5,126,1,86.0,1,1,1
6,306,4,644.0,1,2,2
7,234,1,235.0,1,1,1
8,57,8,877.0,2,3,3
9,97,1,60.0,2,1,1
10,44,11,1564.0,3,4,4
11,87,4,463.0,2,2,2
12,51,10,1182.0,2,4,3
13,23,12,1588.0,3,4,4
14,35,6,906.0,3,3,3
15,55,4,326.0,2,2,2
16,74,3,424.0,2,2,2
17,135,1,70.0,1,1,1
18,32,8,889.0,3,3,3
19,1,3,582.0,4,2,2
20,27,13,2532.0,3,4,4
21,5,22,2818.0,4,4,4
22,218,8,952.0,1,3,3
23,149,1,62.0,1,1,1
24,12,1,46.0,4,1,1
25,46,7,891.0,3,3,3
26,116,6,876.0,2,3,3
27,17,5,379.0,3,2,2
28,7,4,340.0,4,2,2
29,115,2,197.0,2,1,1
30,39,7,1151.0,3,3,3
31,75,4,1209.0,2,2,3
33,1,10,1327.0,4,4,4
34,53,11,1576.0,2,4,4
35,10,8,925.0,4,3,3
36,20,8,974.0,3,3,3
37,64,7,697.0,2,3,2
38,13,17,1727.0,4,4,4
39,238,2,104.0,1,1,1
40,282,16,1468.0,1,4,4
41,345,5,1494.0,1,3,4
42,164,2,240.0,1,1,1
43,37,7,876.0,3,3,3
44,29,4,628.0,3,2,2
45,47,1,130.0,3,1,1
46,115,1,304.0,2,1,2
47,158,5,1037.0,1,3,3
48,81,4,306.0,2,2,2
49,25,5,517.0,3,2,2
50,328,7,1118.0,1,3,3
51,31,7,441.0,3,3,2
52,19,1,30.0,3,1,1
53,32,7,954.0,3,3,3
54,4,32,4472.0,4,4,4
55,42,3,190.0,3,2,1
56,35,4,191.0,3,2,1
57,61,3,321.0,2,2,2
58,6,9,761.0,4,3,3
59,340,2,76.0,1,1,1
60,3,16,2325.0,4,4,4
61,85,2,129.0,2,1,1
62,138,1,255.0,1,1,1
63,60,9,1811.0,2,4,4
64,22,7,1107.0,3,3,3
65,30,4,304.0,3,2,2
66,187,13,1418.0,1,4,4
67,4,14,1104.0,4,4,3
68,23,3,347.0,3,2,2
69,188,6,963.0,1,3,3
70,20,6,964.0,3,3,3
71,165,3,290.0,1,2,2
72,16,28,5117.0,3,4,4
73,53,2,73.0,2,1,1
74,117,1,149.0,2,1,1
75,11,16,2227.0,4,4,4
76,35,5,733.0,3,2,3
77,13,17,2486.0,4,4,4
78,118,9,1379.0,2,3,4
79,113,7,849.0,2,3,3
80,12,27,3638.0,4,4,4
81,41,8,471.0,3,3,2
82,249,7,476.0,1,3,2
83,29,17,2346.0,3,4,4
84,136,12,1629.0,1,4,4
85,4,9,1380.0,4,3,4
86,78,1,45.0,2,1,1
87,10,2,577.0,4,2,2
88,6,7,746.0,4,3,3
89,271,1,45.0,1,1,1
90,25,5,634.0,3,2,2
91,289,2,337.0,1,2,2
92,35,4,355.0,3,2,2
93,148,1,384.0,1,1,2
94,5,17,1690.0,4,4,4
95,131,1,24.0,1,1,1
96,14,13,1107.0,4,4,3
97,62,1,190.0,2,1,1
98,2,4,256.0,4,2,1
99,226,13,1768.0,1,4,4
100,292,1,341.0,1,1,2
101,52,4,451.0,2,2,2
102,263,2,161.0,1,1,1
103,196,3,869.0,1,2,3
104,84,2,60.0,2,1,1
105,46,7,1530.0,3,3,4
106,243,7,776.0,1,3,3
107,85,2,243.0,2,1,1
108,215,4,517.0,1,2,2
110,253,2,225.0,1,1,1
111,124,4,730.0,1,2,3
112,20,9,1463.0,3,4,4
113,43,2,225.0,3,1,1
114,349,1,45.0,1,1,1
115,292,10,1344.0,1,4,4
116,31,6,807.0,3,3,3
117,1,17,1610.0,4,4,4
118,102,1,173.0,2,1,1
119,18,4,1197.0,3,2,3
120,143,2,243.0,1,1,1
121,17,17,2057.0,3,4,4
122,4,26,2969.0,4,4,4
123,56,2,131.0,2,1,1
124,15,7,1307.0,3,3,4
125,178,1,129.0,1,1,1
126,5,10,1452.0,4,4,4
127,108,7,989.0,2,3,3
128,153,1,137.0,1,1,1
129,13,8,647.0,4,3,2
130,22,3,586.0,3,2,2
131,235,2,140.0,1,1,1
132,22,10,869.0,3,4,3
133,12,6,977.0,4,3,3
134,70,5,732.0,2,2,3
135,178,1,103.0,1,1,1
136,33,3,343.0,3,2,2
137,4,6,867.0,4,3,3
138,83,2,218.0,2,1,1
139,15,12,1447.0,3,4,4
140,13,8,535.0,4,3,2
141,4,12,1625.0,4,4,4
142,91,1,44.0,2,1,1
143,8,14,1672.0,4,4,4
144,35,3,282.0,3,2,2
145,26,15,1943.0,3,4,4
146,74,5,734.0,2,2,3
147,16,18,2938.0,3,4,4
148,12,4,442.0,4,2,2
149,5,10,1270.0,4,4,4
150,19,5,649.0,3,2,2
151,37,1,120.0,3,1,1
152,28,13,1759.0,3,4,4
153,280,4,395.0,1,2,2
154,9,5,671.0,4,2,2
155,6,13,1752.0,4,4,4
156,3,1,95.0,4,1,1
157,19,4,615.0,3,2,2
158,3,21,2733.0,4,4,4
159,93,9,856.0,2,3,3
160,155,2,92.0,1,1,1
161,217,2,80.0,1,1,1
162,61,3,185.0,2,2,1
163,39,3,841.0,3,2,3
164,4,7,931.0,4,3,3
165,43,6,835.0,3,3,3
166,119,2,271.0,1,1,1
167,79,4,1027.0,2,2,3
168,119,23,3274.0,1,4,4
169,3,10,1108.0,4,4,3
170,126,16,2933.0,1,4,4
171,66,1,212.0,2,1,1
172,104,1,55.0,2,1,1
173,4,5,843.0,4,3,3
175,7,22,3635.0,4,4,4
176,12,9,726.0,4,3,3
177,300,2,55.0,1,1,1
178,170,7,1169.0,1,3,3
179,29,10,1628.0,3,4,4
180,42,8,900.0,3,3,3
181,195,2,389.0,1,2,2
182,46,5,739.0,3,2,3
183,12,4,407.0,4,2,2
184,132,5,750.0,1,3,3
185,204,3,194.0,1,2,1
186,152,2,174.0,1,1,1
187,36,13,1529.0,3,4,4
188,38,1,60.0,3,1,1
189,29,5,574.0,3,2,2
191,8,11,1035.0,4,4,3
192,12,8,787.0,4,3,3
193,1,6,407.0,4,3,2
194,80,5,211.0,2,2,1
195,50,12,2067.0,2,4,4
196,64,6,729.0,2,3,3
197,83,1,55.0,2,1,1
198,20,6,758.0,3,3,3
199,134,6,732.0,1,3,3
200,6,2,294.0,4,1,2
201,98,10,774.0,2,4,3
202,24,5,561.0,3,2,2
203,38,8,1214.0,3,3,3
205,161,8,1025.0,1,3,3
206,85,14,1582.0,2,4,4
207,12,20,2403.0,4,4,4
208,364,1,348.0,1,1,2
209,80,4,419.0,2,2,2
210,227,3,171.0,1,2,1
211,28,2,79.0,3,1,1
212,61,6,841.0,2,3,3
213,9,1,40.0,4,1,1
214,246,3,273.0,1,2,1
215,355,1,15.0,1,1,1
216,63,6,593.0,2,3,2
217,2,3,379.0,4,2,2
218,2,12,889.0,4,4,3
219,129,3,593.0,1,2,2
220,9,6,691.0,4,3,2
221,97,6,578.0,2,3,2
222,4,5,1012.0,4,3,3
223,15,15,1444.0,4,4,4
224,56,4,272.0,2,2,1
225,29,1,24.0,3,1,1
226,77,4,529.0,2,2,2
227,5,8,703.0,4,3,3
228,26,10,2170.0,3,4,4
229,26,24,3084.0,3,4,4
230,12,5,602.0,4,2,2
231,73,2,209.0,2,1,1
232,36,5,851.0,3,3,3
233,215,16,2442.0,1,4,4
234,19,4,258.0,3,2,1
235,48,3,399.0,3,2,2
236,86,3,353.0,2,2,2
237,101,2,486.0,2,2,2
238,3,8,1169.0,4,3,3
239,4,5,688.0,4,2,2
240,2,8,1138.0,4,3,3
241,266,1,55.0,1,1,1
242,48,1,250.0,2,1,1
243,61,7,1156.0,2,3,3
244,211,2,301.0,1,1,2
245,1,6,911.0,4,3,3
246,2,10,1238.0,4,4,4
247,26,9,1568.0,3,4,4
248,18,3,189.0,3,2,1
249,3,7,1283.0,4,3,4
250,146,3,819.0,1,2,3
251,105,5,703.0,2,2,3
252,7,13,1864.0,4,4,4
253,3,20,3081.0,4,4,4
254,264,1,313.0,1,1,2
255,56,1,700.0,2,1,2
256,4,29,3736.0,4,4,4
257,1,8,1515.0,4,3,4
258,310,5,531.0,1,2,2
259,31,22,2643.0,3,4,4
260,266,1,184.0,1,1,1
261,6,4,590.0,4,2,2
262,79,2,332.0,2,2,2
263,85,2,207.0,2,1,1
264,108,1,28.0,2,1,1
265,69,2,289.0,2,1,2
266,9,1,42.0,4,1,1
267,114,1,320.0,2,1,2
268,4,9,1219.0,4,3,4
269,38,3,326.0,3,2,2
270,138,6,901.0,1,3,3
271,85,2,361.0,2,2,2
272,1,11,1291.0,4,4,4
273,345,5,469.0,1,2,2
274,91,1,110.0,2,1,1
275,53,12,2081.0,2,4,4
276,105,5,809.0,2,3,3
277,88,11,1210.0,2,4,3
278,39,6,486.0,3,3,2
279,53,14,2188.0,2,4,4
280,10,15,1351.0,4,4,4
281,119,1,76.0,1,1,1
282,8,14,1218.0,4,4,4
283,102,8,572.0,2,3,2
284,8,6,968.0,4,3,3
285,172,2,323.0,1,2,2
286,63,6,1393.0,2,3,4
287,29,14,1897.0,3,4,4
288,63,7,1072.0,2,3,3
289,5,7,1113.0,4,3,3
290,335,2,259.0,1,1,1
291,36,13,1973.0,3,4,4
292,100,1,228.0,2,1,1
293,32,1,218.0,3,1,1
294,12,18,2381.0,4,4,4
295,19,14,1638.0,3,4,4
296,179,1,414.0,1,1,2
297,200,9,1022.0,1,3,3
298,99,2,430.0,2,2,2
299,84,32,3318.0,2,4,4
300,62,22,2452.0,2,4,4
